NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;No;70.5849;0.867421;81.3732;35.4296;2743;1582.1161;87646;34843;2.7943;276;42;34;1427;1316;1518;1320;71499;30064;47474;56134
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;--;;;0.0000;0.0000;113;0.0000;8618;21;0.7718;40;42;0;67;46;64;2;8535;16;775;751
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;Si;;;217.2308;126.3630;89;8932.0195;5643;648;2.2414;49;1;15;74;15;76;15;3616;444;63;75
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;--;;;0.0000;0.0000;120;0.0000;8342;21;0.8332;40;42;0;71;49;67;2;8265;16;777;747
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;Si;;;214.3911;127.7828;90;8939.1185;5605;691;2.2610;46;1;18;74;16;76;16;3597;472;60;75
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;No;72.3217;0.867692;83.3494;35.9204;2781;1565.6735;86726;34490;2.8571;280;48;36;1449;1332;1525;1345;70685;29765;48189;54898
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;No;75.5377;0.874171;86.4106;37.9871;2941;1557.7429;86913;33689;3.0735;281;58;43;1547;1394;1653;1410;70641;29018;50831;63179
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;--;;;0.0000;0.0000;131;0.0000;8690;26;0.9031;49;43;0;81;50;76;2;8616;21;783;862
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;Si;;;208.7119;99.3866;70;9086.7787;5703;697;1.7958;38;0;16;54;16;57;16;3586;479;61;94
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;--;;;0.0000;0.0000;134;0.0000;8639;25;0.8972;50;44;0;80;54;75;2;8561;21;822;924
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;Si;;;194.5138;80.9291;57;8825.5338;5533;683;1.5742;36;0;12;44;13;48;13;3420;455;62;95
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;No;78.5442;0.883349;88.9164;39.2916;3042;1591.9972;90483;32771;3.1513;285;62;52;1572;1470;1718;1476;73116;28239;55395;68037
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;--;;;0.0000;0.0000;144;0.0000;8794;26;0.9724;47;6;1;91;53;83;2;8717;24;838;939
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;Si;;;212.9713;85.1885;60;9088.1985;5708;693;1.7641;35;0;13;43;17;53;17;3503;465;66;89
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;No;82.4784;0.896596;91.9905;41.1128;3183;1617.8299;92569;32685;3.2436;294;59;52;1624;1559;1768;1564;74604;28121;58731;74351
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;No;86.508;0.907156;95.3617;43.2053;3345;1625.5927;92894;32961;3.3614;315;63;60;1698;1647;1790;1668;74632;28242;63864;81731
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;--;;;0.0000;0.0000;145;0.0000;8737;30;0.9211;42;5;1;91;54;78;2;8657;28;858;1008
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;Si;;;225.7496;85.1885;60;9570.9336;6081;660;1.5206;32;0;11;40;20;44;20;3760;449;59;100
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;--;;;0.0000;0.0000;154;0.0000;8704;30;0.9482;35;6;2;96;58;80;2;8619;29;869;1047
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;Si;;;224.3298;88.0281;62;10588.9368;6807;651;1.4172;30;0;11;41;21;45;21;4204;453;63;110
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;No;90.9242;0.914689;99.4045;44.8973;3476;1621.1882;92391;33123;3.5368;334;71;68;1726;1750;1854;1772;74093;28428;65505;98636
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;No;93.2097;0.920458;101.2645;45.9436;3557;1621.1495;92159;33352;3.5961;343;75;71;1727;1830;1858;1828;73868;28631;65587;99426
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;--;;;0.0000;0.0000;154;0.0000;8755;29;0.9777;36;5;3;99;55;83;2;8666;28;868;1099
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;Si;;;227.1694;90.8677;64;10520.7860;6747;663;1.4929;32;0;9;41;23;46;23;4163;459;63;110
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;--;;;0.0000;0.0000;161;0.0000;9183;33;0.9759;35;6;3;102;59;87;2;9089;31;896;1132
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;Si;;;234.2685;86.6083;61;10533.5642;6790;629;1.4157;29;0;7;39;22;44;22;4221;441;63;109
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;No;95.4902;0.91872;103.9382;47.4289;3672;1640.1624;92672;34311;3.6626;356;83;72;1787;1885;1918;1881;74270;29455;66201;109336
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;--;;;0.0000;0.0000;162;0.0000;9124;32;0.9725;31;6;3;101;61;86;2;9020;29;910;1260
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;Si;;;244.2071;109.3253;77;11087.2898;6983;826;1.6541;31;0;7;53;24;57;24;4332;565;68;113
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;No;96.8735;0.892862;108.4977;48.4235;3749;1647.2922;91708;35827;3.6884;394;88;74;1726;2023;1813;2029;73355;30809;64122;119347
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;No;98.1643;0.860504;114.0775;49.6247;3842;1677.7491;92489;37404;3.6879;423;89;71;1743;2099;1805;2109;73979;32152;63868;132984
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;--;;;0.0000;0.0000;172;0.0000;9244;34;1.0906;29;6;3;111;61;97;3;9139;30;924;1330
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;Si;;;264.0845;113.5847;80;12312.5851;7829;843;1.5424;32;0;9;49;31;53;31;4886;560;84;130
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;--;;;0.0000;0.0000;164;0.0000;9136;33;1.1034;31;6;2;108;56;97;3;9034;29;904;1409
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;Si;;;262.6646;127.7828;90;13155.9518;8426;840;1.5697;32;0;11;67;23;69;23;5310;551;76;135
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;No;99.0447;0.828988;119.4766;50.8776;3939;1700.0170;93254;38363;3.7108;432;102;75;1778;2161;1841;2148;74385;33111;62632;148555
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;No;100.984;0.804598;125.5085;52.1563;4038;1727.5160;92631;41115;3.7691;449;102;74;1774;2264;1878;2248;73874;35595;60300;169253
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;--;;;0.0000;0.0000;177;0.0000;9045;30;1.2274;28;7;2;116;61;108;2;8936;26;901;1389
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;Si;;;282.5420;140.5611;99;13571.9559;8578;981;1.8768;37;1;14;72;27;86;27;5408;613;79;126
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;--;;;0.0000;0.0000;190;0.0000;9105;33;1.3070;31;5;1;121;69;115;3;8999;29;878;1293
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;Si;;;285.3816;136.3016;96;13336.2676;8316;1077;1.8384;38;1;17;68;28;81;28;5276;653;79;115
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;No;106.023;0.790489;134.1238;54.5071;4220;1768.8484;93055;43891;3.8514;451;105;66;1777;2443;1891;2423;74036;37975;60423;165307
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;--;;;0.0000;0.0000;193;0.0000;9095;33;1.3299;32;5;0;123;70;117;3;8995;28;880;1200
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;Si;;;288.2212;136.3016;96;13458.3711;8326;1153;1.8206;37;1;18;69;27;82;27;5276;711;79;117
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;No;107.359;0.782292;137.2366;55.3209;4283;1791.3488;93200;45488;3.8764;454;109;64;1812;2471;1936;2468;74159;39451;60474;168567
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;No;109.975;0.776153;141.6928;56.5092;4375;1802.1856;92274;47253;3.9354;482;101;67;1832;2543;1965;2540;73376;41097;59909;168525
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;--;;;0.0000;0.0000;197;0.0000;9013;35;1.3304;33;5;0;121;76;115;4;8914;31;871;1154
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;Si;;;337.9145;147.6601;104;13735.2339;8445;1229;1.8304;41;1;20;77;27;85;27;5364;755;80;120
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;--;;;0.0000;0.0000;224;0.0000;8943;36;1.5095;31;4;0;137;87;130;4;8844;33;915;1077
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;Si;;;349.2730;134.8818;95;14235.0068;8826;1200;1.6147;38;1;19;68;27;76;27;5643;736;77;129
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;No;116.717;0.773062;150.9797;60.0741;4651;1823.8464;91541;49663;4.1522;494;96;65;1955;2696;2113;2703;72684;43302;60496;179482
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;No;124.368;0.774258;160.6282;64.4528;4990;1819.6744;89210;51671;4.4623;506;103;69;2077;2913;2255;2914;70734;45103;58884;189587
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;--;;;0.0000;0.0000;240;0.0000;9209;38;1.5432;37;3;0;148;92;137;4;9101;36;964;1041
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;Si;;;373.4098;150.4997;106;14253.4643;8708;1331;1.7941;37;1;19;84;22;92;22;5524;830;70;128
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;--;;;0.0000;0.0000;261;0.0000;9392;39;1.5568;34;3;0;156;105;140;5;9278;36;1031;954
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;Si;;;364.8909;134.8818;95;14943.4915;9109;1416;1.5532;42;2;17;72;23;79;23;5681;886;81;140
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;No;132.154;0.779066;169.6310;68.5989;5311;1833.1979;88210;53718;4.7599;534;102;82;2174;3137;2389;3171;69875;46934;60673;198069
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;--;;;0.0000;0.0000;273;0.0000;9589;43;1.5453;40;4;0;158;115;140;7;9474;39;1078;946
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;Si;;;366.3107;141.9809;100;15226.0336;9347;1377;1.4941;36;1;16;79;21;79;21;5796;897;83;161
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;No;140.81;0.788945;178.4787;73.3522;5679;1823.7302;87239;53956;5.1288;557;113;82;2312;3367;2567;3392;68991;47195;60807;201693
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;No;152.781;0.799005;191.2142;79.6166;6164;1837.7445;87370;54910;5.5034;583;112;87;2491;3673;2750;3697;69090;48056;65212;203730
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;--;;;0.0000;0.0000;284;0.0000;9862;41;1.5641;46;8;0;165;119;146;7;9745;37;1145;949
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;Si;;;411.7446;149.0799;105;16316.4470;9999;1493;1.4499;35;1;14;76;29;75;29;6209;964;81;175
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;--;;;0.0000;0.0000;290;0.0000;9824;42;1.5906;49;9;1;167;123;147;8;9706;39;1144;947
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;Si;;;423.1031;151.9195;107;16401.6356;9980;1572;1.4867;35;1;17;77;30;77;30;6203;994;82;174
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;No;159.186;0.809638;196.6133;81.9157;6342;1838.6486;87227;55123;5.6464;611;114;93;2530;3812;2780;3833;68913;48205;65658;200409
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;No;166.395;0.821114;202.6453;85.1836;6595;1848.3230;87297;55802;5.8851;621;122;91;2604;3991;2897;4027;68920;48734;66753;201860
